PROBLEMA/RESOLUÇÃO,Pergunta,Resposta
"Cm sao joao sabugi – siai quadro – erro de duplicação de cargos. Chamado aberto .        Prezado, a demanda relatada acima encontra-se resolvida. Caso surja alguma outra dúvida, favor entrar em contato.Atenciosamente.", Cm sao joao saquei – sai quadro – erro de duplicação de cargos . Chamado aberto .," Prezado , a demanda relatada acima encontra-se resolvida . Caso surja alguma outra dúvida , favor entrar em contato.Atenciosamente ."
"PM brejinho Solicito dessa Diretoria a correção dos cargos que estão classificados como vagas inadequadas, tendo sido alimentados pelo Município a quantidade de vagas e ocupantes, conforme lei.Segue o anexo para as devidas correções.            Prezado, a demanda relatada acima encontra-se resolvida. Caso surja alguma outra dúvida, favor entrar em contato.Atenciosamente."," PM beijinho Solicito dessa Diretoria a correção dos cargos que estão classificados como vagas inadequadas , tendo sido alimentados pelo Município a quantidade de vagas e ocupantes , conforme lei.Segue o anexo para as devidas correções ."," Prezado , a demanda relatada acima encontra-se resolvida . Caso surja alguma outra dúvida , favor entrar em contato.Atenciosamente ."
"EM NOSSA LEI TEMOS 3 CARGOS QUE NO MOMENTO NÃO ESTAO OCUPADOS, MESMO ASSIM PRECISAMOS CADASTRAR NO SIAI QUADROS??                   sim , é necessário o cadastro de todos os cargos criados."," EM NOSSA LEI TEMOS 3 CARGOS QUE NO MOMENTO NÃO ESTAO OCUPADOS , MESMO ASSIM PRECISAMOS CADASTRAR NO sai QUADROS ? ?"," sim , é necessário o cadastro de todos os cargos criados ."
"PM Santa cruz – siai quadro –  usuário gostaria de saber quando ele deverá preencher o siai quadro.          Foi informado a ele que só é necessário preencher caso tenha alguma alteração na quantidade dos cargos criados, na criação de cargos novos ou ainda na exclusão de algum cargo.", PM Santa cruz – sai quadro – usuário gostaria de saber quando ele deverá preencher o sai quadro .," Foi informado a ele que só é necessário preencher caso tenha alguma alteração na quantidade dos cargos criados , na criação de cargos novos ou ainda na exclusão de algum cargo ."
"Layout do Anexo 11 - Quando eu me referi às linhas 13 a 18, eu nao quis dizer somente a linha 13.

Existem as linhas 14, 15, 16, 17 e 18.

De acordo com o layout de voces, exige-se a dotação atualizada.

Para que não haja dúvidas quanto a isso, estou colando aqui um trecho de imagem do MDE 2021.

Resposta: Esse tipo de registro é usado em todas as tabelas de despesas, as que não tem coluna correspondente, não precisa colocar valor.
"," Layout do Anexo 11 - Quando eu me referi às linhas 13 a 18 , eu nao quis dizer somente a linha 13 ."," Resposta : Esse tipo de registro é usado em todas as tabelas de despesas , as que não tem coluna correspondente , não precisa colocar valor ."
"valferdo pinheito - Baixei o coleta siai, instalei, atualizei e cadastrei um órgão, mas quando vou acessar ele dar o seguinte erro e não acessa:                        favor desinstalar, baixar o aplicativo e atualização e reinstalá-los. Certifique-se de ter permissão de administrador para efetuar as tarefas acima solicitadas."," valendo pinheiro - Baixei o coleta sai , instalei , actualizei e cadastro um órgão , mas quando vou acessar ele dar o seguinte erro e não acesso :"," favor reinstalar , baixar o aplicativo e atualização e reinstalá-los . Certifique-se de ter permissão de administrador para efetuar as tarefas acima solicitadas ."
"SETUR - Conforme contatos anteriores informamos que a pendência referente ao envio do arquivo do 6º bimestre/2011 permanece.  Estamos com dificuldade em gerar os arquivos (conta corrente), diante disto solicitamos o backup do 5º bimestre/ 2011.                      Prezado, segue backup do banco de dados solicitado.SETUR – 2011 Passos para a restauração do backup - 1) Após instalar o SIAI 2011 e sua última atualização 2)cria-se o órgão SETUR 3)fecha-se o SIAI 4) descompacta-se o arquivo anexado dentro da pasta c:/siai2011."," SETUR - Conforme contatos anteriores informamos que a pendência referente ao envio do arquivo do 6º bimestre/2011 permanece . Estamos com dificuldade em gerar os arquivos ( conta corrente ) , diante disto solicitamos o backup do 5º bimestre/ 2011 ."," Prezado , segue backup do banco de dados solicitado.SETUR – 2011 Passos para a restauração do backup - 1 ) Após instalar o sai 2011 e sua última atualização 2 ) cria-se o órgão SETUR 3 ) fechasse o sai 4 ) descompacta-se o arquivo anexado dentro da pasta c : /siai2011 ."
PM tangara – erro ao gerar arquivo de envio do siai 2021.01 . a mensagem informa que uma serie de programas não foram cadastrados e o usuário pede ajuda.             Foi informado ao usuário que é necessário o cadastro dos programas informados., PM zangada – erro ao gerar arquivo de envio do sai 2021.01 . a mensagem informa que uma serie de programas não foram cadastrados e o usuário pede ajuda ., Foi informado ao usuário que é necessário o cadastro dos programas informados .
"PM goianinha – usuário relatou ausência de informações sobre o anexo 11 no recibo de entrega gerado pelo siai coleta e  pergunta o q fazer?              caso tenha sido de fato inserido informações no Anexo 11, é possível imprimir relatorio do mesmo antes do envio, favor realizar o envio, pois o erro relatado deve ser apenas de relatório e não impede o envio da informação via Portal do Gestor.", PM goianinha – usuário relatou ausência de informações sobre o anexo 11 no recibo de entrega gerado pelo sai coleta e pergunta o q fazer ?," caso tenha sido de fato inserido informações no Anexo 11 , é possível imprimir relatorio do mesmo antes do envio , favor realizar o envio , pois o erro relatado deve ser apenas de relatório e não impede o envio da informação via Portal do Gestor ."
"PM lagoa danta – usuário relata que no anexo 11 o percentual aplicado está zerado, e pergunta o q fazer.                         é possivel rever essas informações acessando a tela de REGISTRO De INFORMAÇÕES >> aneXo 11. Favor verificar as informações contidas na tela informada, e na necessidade corrigi-las."," PM lagoa tanta – usuário relata que no anexo 11 o percentual aplicado está zerado , e pergunta o q fazer ."," é possivel rever essas informações acessando a tela de REGISTRO De INFORMAÇÕES > > aneXo 11 . Favor verificar as informações contidas na tela informada , e na necessidade corrigidas ."
"a atualização do SIAI para a versão 2.51 apaga as informações dos Anexos 11 e 16.

Prefeitura de São Gonçalo do Amarante.

De fato os dados são removidos, sendo necessária uma nova importação.", a atualização do sai para a versão 2.51 apaga as informações dos Anexos 11 e 16 .," De fato os dados são removidos , sendo necessária uma nova importação ."
"PM Felipe Guerra - Bom dia tenho duas receitas para arrecadar do novo fundeb porém os códigos das respectivas receitas ainda não esta disponível no meu programa de contabilidade, entrei em contato com o suporte do meu programa para eles incluírem esses códigos de receita no sistema e eles me falaram que o tribunal ainda não disponibilizou esses códigos para atualizarem os sistemas, e como temos que fechar o bimestre estamos pendente desses códigos, no mais queria saber quando o TCE RN vai disponibilizar os códigos de arrecadação?

R: Informamos que já existem receitas relacionadas ao FUNDEB em nossa lista de Código de Receitas, conforme pode ser verificado no link do site http://www.tce.rn.gov.br/SiaiFiscal/DetalhesVersoes?versao=SIAI2017 como também no print anexo.
Caso seja alguma outra, por gentileza, especificar."," PM Felipe Guerra - Bom dia tenho duas receitas para arrecadar do novo fundeb porém os códigos das respectivas receitas ainda não esta disponível no meu programa de contabilidade , entrei em contato com o suporte do meu programa para eles incluírem esses códigos de receita no sistema e eles me falaram que o tribunal ainda não disponibilizou esses códigos para atualizarem os sistemas , e como temos que fechar o mestre estamos pendente desses códigos , no mais queria saber quando o TCE RN vai disponibilizar os códigos de arrecadação ?"," Informamos que já existem receitas relacionadas ao FUNDEB em nossa lista de Código de Receitas , conforme pode ser verificado no link do site http : //www.tce.rn.gov.br/SiaiFiscal/DetalhesVersoes ? versao=SIAI2017 como também no print anexo . Caso seja alguma outra , por gentileza , especificar ."
"AO GERAR O SIAI 2 BIMESTRE DE 2021, SÓ ESTÃO HABILITADOS PARA IMPORTAÇÃO OS ANEXOS DE RECEITA E DESPESAS, O ANEXO 11, ANEXO 12, ANEXO 31 E O DE CADASTRO DE PESSOAS, OS DEMAIS ANEXOS NÃO ESTÃO DISPONÍVEIS PARA SEREM IMPORTADOS DENTRO DO SIAI, SEGUE EM ANEXO O BACUP PARA ANÁLISE. 
CERTO DO PRONTO ATENDIMENTO, AGRADEÇO A ATENÇÃO.


Os anexos disponibilizados no SIAI estão de acordo com as informações repassadas referente ao envio da periodicidade do RREO e do RGF, sendo assim, disponibilizando os anexos de acordo com o informado.
Conforme pode ser verificado no portal do gestor, o prazo para envio de periodicidade do RREO e RFG foi até o dia 30.03, dessa forma nao sendo possível realizar alteração pelo referido portal, apenas formalizando esse pedido é entregue através do Portal ETce ou fisicamente no setor de protocolo.
"," AO GERAR O sai 2 mestre DE 2021 , SÓ ESTÃO HABILITADOS PARA IMPORTAÇÃO OS ANEXOS DE RECEITA E DESPESAS , O ANEXO 11 , ANEXO 12 , ANEXO 31 E O DE CADASTRO DE PESSOAS , OS DEMAIS ANEXOS NÃO ESTÃO DISPONÍVEIS PARA SEREM IMPORTADOS DENTRO DO sai , SEGUE EM ANEXO O backup PARA ANÁLISE . CERTO DO PRONTO ATENDIMENTO , AGRADEÇO A ATENÇÃO ."," Os anexos disponibilizados no sai estão de acordo com as informações repassadas referente ao envio da periodicidade do raio e do rei , sendo assim , disponibilizando os anexos de acordo com o informado . Conforme pode ser verificado no portal do gestor , o prazo para envio de periodicidade do raio e rei foi até o dia 30.03 , dessa forma nao sendo possível realizar alteração pelo referido portal , apenas formalizando esse pedido é entregue através do Portal ETce ou fisicamente no setor de protocolo ."
"Governo - Erro de preenchimento no Anexo 03 e 16, dúvida sobre o Anexo 01 e 15

R: Informamos que os erros relatados no Anexo 03 e 16 foram corrigidos e disponibilizados através da Versão 2.8.1 no site do TCE.
Quanto a dúvida sobre o Anexo 01, o preenchimento do referido anexo pode ser realizado através de importação do arquivo, seguindo nosso layout disponibilizado no site do TCE, não havendo outra maneira ou outro tipo de arquivo que o sistema compreenda.
Já o Anexo 15, o mesmo está de acordo com o arquivo disponibilizado no MDF, conforme segue para conferência em anexo.
"," Governo - Erro de preenchimento no Anexo 03 e 16 , dúvida sobre o Anexo 01 e 15"," Informamos que os erros relatados no Anexo 03 e 16 foram corrigidos e disponibilizados através da Versão 2.8.1 no site do TCE . Quanto a dúvida sobre o Anexo 01 , o preenchimento do referido anexo pode ser realizado através de importação do arquivo , seguindo nosso layout disponibilizado no site do TCE , não havendo outra maneira ou outro tipo de arquivo que o sistema compreenda . Já o Anexo 15 , o mesmo está de acordo com o arquivo disponibilizado no de , conforme segue para conferência em anexo ."
"GOVERNO - Boa tarde, gostaria de solicitar que as pendências listadas no Portal do gestor sobre o Arquivo LRF 01/2018  sejam verificadas, visto que são problemas com a estrutura do anexo 39, e não problemas de preenchimento por parte do poder executivo.

R: Solicitamos que abra o SIAI Fiscal do 1º Bimestre/2018, acesso o Anexo 39 grave as informações em seguida gere o arquivo de prestação de contas novamente e realize um novo envio. Xaso o erro persista, por gentileza, entrar em contato.
"," GOVERNO - Boa tarde , gostaria de solicitar que as pendências listadas no Portal do gestor sobre o Arquivo LRF 01/2018 sejam verificadas , visto que são problemas com a estrutura do anexo 39 , e não problemas de preenchimento por parte do poder executivo ."," Solicitamos que abra o sai Fiscal do 1º Bimestre/2018 , acesso o Anexo 39 grave as informações em seguida gere o arquivo de prestação de contas novamente e realize um novo envio . caso o erro persista , por gentileza , entrar em contato ."
"Gostaria de saber se o TCE-PE já vai exigir as novas fontes (portaria 710 da STN) já a partir de 2022, tendo em vista que o uso em 2022 é facultativo. Seria muito bom adiantar para 2022, para aproveitar a elaboração do PPA.


Informamos que as referidas fontes serão exigidas no exercício 2022, e iremos disponibilizar um documento com as referidas informações. Sendo assim, sugerimos que acompanhe as notícias disponibilizadas no site e qualquer dúvida estamos a disposição.
"," Gostaria de saber se o TCE-PE já vai exigir as novas fontes ( portaria 710 da STN ) já a partir de 2022 , tendo em vista que o uso em 2022 é facultativo . Seria muito bom adiantar para 2022 , para aproveitar a elaboração do PPA ."," Informamos que as referidas fontes serão exigidas no exercício 2022 , e iremos disponibilizar um documento com as referidas informações . Sendo assim , sugerimos que acompanhe as notícias disponibilizadas no site e qualquer dúvida estamos a disposição ."
Agencia reguladora RN- ivoneide – usuária pergunta sobre a obrigação de envio do siai fiscal 3º/2021.                  Foi informado a usuária que eles estão desobrigados conforme Art 37-E da Res 11/2016-TCE., Agencia reguladora RN- ivoneide – usuária pergunta sobre a obrigação de envio do sai fiscal 3º/2021 ., Foi informado a usuária que eles estão desobrigados conforme Art 37-E da Res 11/2016-TCE .
" USUÁRIA INFORMOU QUE NÃO CONSEGUE ATUALIZAR O SIAI FISCAL E NEM INCLUIR NENHUM ÓRGÃO NO SEU ACESSO QUE SURGE O ERRO CONFORME IMAGEM
REJANECONTABILIDADE@HOTMAIL.COM

R: faz se necessário verificar com usuário se a instalação como administrador.
ou reinstalar a aplicação e atualizar

a nove versão que sai foi testada e não apresentou o problema descrito

caso o usuário ainda continue apresentando problema é necessário arquivo de backup
para verificar se teve alguma alteração no banco de dados local do siai para o jurisdicionado. (69129)", USUÁRIA INFORMOU QUE NÃO CONSEGUE ATUALIZAR O sai FISCAL E NEM INCLUIR NENHUM ÓRGÃO NO SEU ACESSO QUE SURGE O ERRO CONFORME IMAGEM REJANECONTABILIDADE @ HOTMAIL.COM, faz se necessário verificar com usuário se a instalação como administrador . ou reinstalar a aplicação e atualizar a nove versão que sai foi testada e não apresentou o problema descrito caso o usuário ainda continue apresentando problema é necessário arquivo de backup para verificar se teve alguma alteração no banco de dados local do sai para o jurisdicionado . ( 69129 )
"Conforme as Portarias e Nota Técnica anexadas a este e-mail, o Tesouro Nacional modificou o ementário da Receita para 2022.

Contudo, até o momento verificou-se que o TCE/RN ainda não se manifestou sobre se iriam aderir ao novo ementário para 2022.

Gostaria de pedir que com urgência tomem as providências para informar aos jurisdicionados considerando que até o final do mês os projetos de Lei Orçamentária Anual (LOA) serão protocolados nas Câmaras Municipais.


R: Informamos que iremos adotar e que a mesma já está tramitando. Sendo assim,reafirmamos que pode seguir o ementário publicado pela STN.
"," Conforme as Portarias e Nota Técnica anexadas a este e-mail , o Tesouro Nacional modificou o ementário da Receita para 2022 . Contudo , até o momento verificou-se que o TCE/RN ainda não se manifestou sobre se iriam aderir ao novo ementário para 2022 . Gostaria de pedir que com urgência tomem as providências para informar aos jurisdicionados considerando que até o final do mês os projetos de Lei Orçamentária Anual ( LOA ) serão protocolados nas Câmaras Municipais ."," Informamos que iremos adotar e que a mesma já está tramitando . Sendo assim , reafirmamos que pode seguir o ementário publicado pela STN ."
"Encaminhamos o presente e-mail, no intuito de saber quando será publicado o novo padrão de receita e despesa para o exercício 2022?

Necessitamos do novo padrão para adequar o software  e possibilitar a inclusão da proposta de PPA. 

R: Informamos que iremos adotar e que a mesma já está tramitando. Sendo assim,reafirmamos que pode seguir o ementário publicado pela STN.
"," Encaminhamos o presente e-mail , no intuito de saber quando será publicado o novo padrão de receita e despesa para o exercício 2022 ? Necessitamos do novo padrão para adequar o software e possibilitar a inclusão da proposta de PPA ."," Informamos que iremos adotar e que a mesma já está tramitando . Sendo assim , reafirmamos que pode seguir o ementário publicado pela STN ."
"Potigás - Conforme combinado, seguem os arquivos dos bimestres 3, 4 e 5 de 2016 e 2 e 3 de 2017 para análise e, se possível, correção no Portal do Gestor.

R: Informamos que cada envio das prestações de contas foram analisados de forma individual observando os erros de validação ocorridos e gerados na época que foi enviado, conforme detalhado no arquivo anexo a este e-mail.

Para correção dos erros, é necessário realizar os ajustes no SIAI Fiscal e em seguida realizar um novo envio das referidas prestações."," Potigás - Conforme combinado , seguem os arquivos dos mestres 3 , 4 e 5 de 2016 e 2 e 3 de 2017 para análise e , se possível , correção no Portal do Gestor ."," Informamos que cada envio das prestações de contas foram analisados de forma individual observando os erros de validação ocorridos e gerados na época que foi enviado , conforme detalhado no arquivo anexo a este e-mail . Para correção dos erros , é necessário realizar os ajustes no sai Fiscal e em seguida realizar um novo envio das referidas prestações ."
"Potigás - SIAI 2017 - O erro ocorreu em relação às datas de publicação e assinatura do referido contrato é referente aos aditivos existentes em seu cadastro, com datas futuras do bimestre que está sendo informado, dessa forma o sistema não compreende as referidas datas, conforme print em anexo.
Dessa forma, é necessário realizar a exclusão dos mesmos e no bimestre correspondente a essas datas realizar o registro."," Potigás - sai 2017 - O erro ocorreu em relação às datas de publicação e assinatura do referido contrato é referente aos aditivos existentes em seu cadastro , com datas futuras do mestre que está sendo informado , dessa forma o sistema não compreende as referidas datas , conforme print em anexo ."," Dessa forma , é necessário realizar a exclusão dos mesmos e no mestre correspondente a essas datas realizar o registro ."
"Sesap - Conforme orientação realizada mediante contato telefônico, encaminhamos os arquivos solicitados para análise referente o envio de informações do 1º bimestre 2016 da Secretaria de Estado da Saúde Pública,                a mensagem informa que está sendo importado informação de outro bimestre , no seu caso, os dados do arquivo são do primeiro bimestre e o sistema está com o movimento do sexto bimestre aberto."," Sesap - Conforme orientação realizada mediante contato telefônico , encaminhamos os arquivos solicitados para análise referente o envio de informações do 1º mestre 2016 da Secretaria de Estado da Saúde Pública ,"," a mensagem informa que está sendo importado informação de outro mestre , no seu caso , os dados do arquivo são do primeiro mestre e o sistema está com o movimento do sexto mestre aberto ."
"FMAS NOVA CRUZ. Criíticas na geração do arquivo.

Resposta: Dentro do SIAI 2016, vá em Arquivo > Cadastro de Pessoa e verifique se o ordenador está cadastrado. Caso contrário insira-o e tente gerar o arquivo novamente.", mas NOVA CRUZ . críticas na geração do arquivo .," Resposta : Dentro do sai 2016 , vá em Arquivo > Cadastro de Pessoa e verifique se o ordenador está cadastrado . Caso contrário inspirado e tente gerar o arquivo novamente ."
"Trabalho na Prefeitura de Parnamirim e gostaria de saber se há, para o exercício de 2022, algum tipo de previsão ou planos do TCE de o SIAI COLETA ser enviado separadamente por unidade orçamentária, a exemplo do Anexo 14.             quem tem obrigação de enviar informações é o membro do Executivo, no caso de vocês, a Prefeitura. "," Trabalho na Prefeitura de Parnamirim e gostaria de saber se há , para o exercício de 2022 , algum tipo de previsão ou planos do TCE de o sai COLETA ser enviado separadamente por unidade orçamentária , a exemplo do Anexo 14 ."," quem tem obrigação de enviar informações é o membro do Executivo , no caso de vocês , a Prefeitura ."
"01/02-Cm Alexandria – simone – pendência de entrega no sexto e terceiro semestre . usuária relata que não aparece nada pra eles enviarem             após conversa , foi identificado a necessidade de envio do anexo 15 para terceiro e sexto semestre. Usuária relatou ter entendido e ficou de providenciar o envio para resolução da pendência.", 01/02-Cm Alexandria – simone – pendência de entrega no sexto e terceiro semestre . usuária relata que não aparece nada pra eles enviarem," após conversa , foi identificado a necessidade de envio do anexo 15 para terceiro e sexto semestre . Usuária relatou ter entendido e ficou de providenciar o envio para resolução da pendência ."
"31/01-Identificamos um problema sério de posicionamento de botoes no SIAI, especificamente nanexo 8.Conforme demonstrado na figura a seguir, os botoes de gravar, ajuda  e fechar nao aparecem em monitores de notebook.Apenas usuarios com monitores maiores conseguem visualizar.Isso está causando transtornos aos usuarios que supoem ter preenchido corretamente o referido anexo, mas que acabam sendo prejudicados por um problema que nao foi causado por eles.Sendo assim, sugiro que reposicionem corretamente os botoes, para que fiquem na parte de cima, ou do lado direito, ou ate mesmo numa ultima aba.O que nao pode acontecer é o sumiço dos botões.            esse é um problema de resolução de tela, para que você consiga ver todas as telas e botões do aplicativo, é necessário que sua tela esteja com resolução superior a 1152x860.
Favor verificar essa configuração em seu computador e corrigí-la para que atenda aos parâmetros acima indicados.
"," 31/01-Identificamos um problema sério de posicionamento de botões no sai , especificamente anexo conforme demonstrado na figura a seguir , os botões de gravar , ajuda e fechar nao aparecem em monitores de notebook.Apenas usuários com monitores maiores conseguem visualizar.Isso está causando transtornos aos usuários que supõem ter preenchido corretamente o referido anexo , mas que acabam sendo prejudicados por um problema que nao foi causado por eles.Sendo assim , sugiro que reposicionar corretamente os botões , para que fiquem na parte de cima , ou do lado direito , ou ate mesmo numa ultima aba.O que nao pode acontecer é o sumiço dos botões ."," esse é um problema de resolução de tela , para que você consiga ver todas as telas e botões do aplicativo , é necessário que sua tela esteja com resolução superior a 1152x860 . Favor verificar essa configuração em seu computador e corrigí-la para que atenda aos parâmetros acima indicados ."
"Estamos fazendo o SIAI da FUNDAÇÃO CULTURAL DONA MILITANA (I42).
 
Em 2019 conseguimos abrir a FUNDACAO CULTURAL DONA MILITANA (I42). Fomos fazer o SIAI de 2018 e aparece FUNDAÇÃO MUNICIPAL DE SÃO GONCALO DO AMARANTE (I42).

Teria como vocês corrigirem para que possamos dar continuidade ao SIAI?

R: Informamos que ao acessar o SIAI Fiscal de 2018, clicando nos órgãos, é necessário clicar na opção de atualizar cadastro e assim o nome da Unidade Gestora será atualizado, conforme print em anexo, 
", Estamos fazendo o sai da FUNDAÇÃO CULTURAL DONA militar ( ir ) . Em 2019 conseguimos abrir a FUNDACAO CULTURAL DONA militar ( ir ) . Fomos fazer o sai de 2018 e aparece FUNDAÇÃO MUNICIPAL DE SÃO GONCALO DO AMARANTE ( ir ) . Teria como vocês corrigirem para que possamos dar continuidade ao sai ?," Informamos que ao acessar o sai Fiscal de 2018 , ficando nos órgãos , é necessário clicar na opção de atualizar cadastro e assim o nome da Unidade Gestora será atualizado , conforme print em anexo ,"
"PREFEITURA DE CEARÁ MIRIMTentamos importar o anexo 7 - Demonst. dos Restos a Pagar, a importação é realizada com sucesso, no entanto, os valores da linha da despesa INTRA-ORÇAMENTÁRIA, não está de acordo com os valores constantes no arquivo utilizado para importação, (conforme cópia em anexo).Favor verificar o que há de errado, na importação do referido anexo, segue cópia do relatório impresso e do arquivo txt, para validação das informações.              é possível realizar ajustes nas informações importadas através da aba REGISTRO DE INFORMAÇÕES >> Anexo 07."," PREFEITURA DE CEARÁ MIRIMTentamos importar o anexo 7 - demos . dos Restos a Pagar , a importação é realizada com sucesso , no entanto , os valores da linha da despesa INTRA-ORÇAMENTÁRIA , não está de acordo com os valores constantes no arquivo utilizado para importação , ( conforme cópia em anexo ) .Favor verificar o que há de errado , na importação do referido anexo , segue cópia do relatório impresso e do arquivo te , para validação das informações .", é possível realizar ajustes nas informações importadas através da aba REGISTRO DE INFORMAÇÕES > > Anexo 07 .
"25/03 PREFEITURA DE CEARÁ MIRIM Tentamos importar o anexo 7 - Demonst. dos Restos a Pagar, a importação é realizada com sucesso, no entanto, os valores da linha da despesa INTRA-ORÇAMENTÁRIA, não está de acordo com os valores constantes no arquivo utilizado para importação, (conforme cópia em anexo).Favor verificar o que há de errado, na importação do referido anexo, segue cópia do relatório impresso e do arquivo txt, para validação das informações.              é possível realizar ajustes nas informações importadas através da aba REGISTRO DE INFORMAÇÕES >> Anexo 07."," 25/03 PREFEITURA DE CEARÁ MIRIM Tentamos importar o anexo 7 - demos . dos Restos a Pagar , a importação é realizada com sucesso , no entanto , os valores da linha da despesa INTRA-ORÇAMENTÁRIA , não está de acordo com os valores constantes no arquivo utilizado para importação , ( conforme cópia em anexo ) .Favor verificar o que há de errado , na importação do referido anexo , segue cópia do relatório impresso e do arquivo te , para validação das informações .", é possível realizar ajustes nas informações importadas através da aba REGISTRO DE INFORMAÇÕES > > Anexo 07 .
"Somos do Consórcio Público Intermunicipal do RN - COPIRN e gostaríamos de esclarecimentos sobre o envio dos bimestre através do siai coleta, desde 2020, não conseguimos enviar pois não aparece a opção de importação de dados, conforme anexos dos prints de tela. No ano de 2020 entramos em contato junto ao suporte através de ligação telefônica quando apresentou esse erro e nos foi informado que o Consórcio Público Intermunicipal do RN - COPIRN não precisava enviar o siai coleta então desde lá não enviamos. Gostaríamos que fosse esclarecido quanto ao envio do siai coleta. Enviamos mensalmente desde 2020 o anexo 14 sem problemas, mas o siai coleta nunca conseguimos enviar. Em anexo os prints mostrando o movimento aberto e não nos dá a opção da importação dos dados.


R: Informamos que o Consórcio Público Intermunicipal do RN - COPIRN tem como obrigação encaminhar o RGF, o Anexo 15 quadrimestralmente e o Anexo 19 no último quadrimestre do exercício.
Quanto aos demais anexos 13, 26, 28 e 38 as remessas são eventuais e no Anexo 14 mensal, todos estes realizados e enviados através do Portal do Gestor. 
"," Somos do Consórcio Público Intermunicipal do RN - copiar e gostaríamos de esclarecimentos sobre o envio dos mestre através do sai coleta , desde 2020 , não conseguimos enviar pois não aparece a opção de importação de dados , conforme anexos dos points de tela . No ano de 2020 entramos em contato junto ao suporte através de ligação telefônica quando apresentou esse erro e nos foi informado que o Consórcio Público Intermunicipal do RN - copiar não precisava enviar o sai coleta então desde lá não enviamos . Gostaríamos que fosse esclarecido quanto ao envio do sai coleta . Enviamos mensalmente desde 2020 o anexo 14 sem problemas , mas o sai coleta nunca conseguimos enviar . Em anexo os points mostrando o movimento aberto e não nos dá a opção da importação dos dados ."," Informamos que o Consórcio Público Intermunicipal do RN - copiar tem como obrigação encaminhar o rei , o Anexo 15 quadrimestralmente e o Anexo 19 no último quadrimestre do exercício . Quanto aos demais anexos 13 , 26 , 28 e 38 as remessas são eventuais e no Anexo 14 mensal , todos estes realizados e enviados através do Portal do Gestor ."
"Sec plan Pau dos ferros - - Olá, me chamo Luana, sou da Prefeitura de Pau dos Ferros. Estou com uma dúvida sobre a declaração de Registro de Bens, se no caso aqui na Secretaria de Planejamento quem é responsável para enviar é apenas o Secretário ou os demais Cargos Comissionados e Efetivos.?                   Prezado, na esfera Municipal, apenas, Prefeito, Vice Prefeito e  Secretários. "," Sec plan Pau dos ferros - - Olá , me chamo Luana , sou da Prefeitura de Pau dos Ferros . Estou com uma dúvida sobre a declaração de Registro de Bens , se no caso aqui na Secretaria de Planejamento quem é responsável para enviar é apenas o Secretário ou os demais Cargos Comissionados e Efetivos . ?"," Prezado , na esfera Municipal , apenas , Prefeito , Vice Prefeito e Secretários ."
"Cornélio - Estou tentando refazer informações no sistema sispatri e não consigo realizar, pois em 2018 fui exonerado da Câmara Municipal de Macau e não tenho a opção de alterar essa informação. Como proceder? Pois de 01/04/2018, não participei de nenhum órgão público, somente agora em 2021 que estou na Prefeitura de Macau.                             Prezado,  no Manual do Siapatri, Página 06 é possível verificar o passo a passo para alteração das informações do Vínculo.  Tanto ao ser Admitido quanto Exonerado em um cargo você deverá editar essa informação a fim de evitar que sejam cobradas o envio de declarações sem necessidade e evitando que você fique com o cadastro negativo perante o TCE."," Cornélio - Estou tentando refazer informações no sistema sispatri e não consigo realizar , pois em 2018 fui exonerado da Câmara Municipal de Macau e não tenho a opção de alterar essa informação . Como proceder ? Pois de 01/04/2018 , não participei de nenhum órgão público , somente agora em 2021 que estou na Prefeitura de Macau ."," Prezado , no Manual do Siapatri , Página 06 é possível verificar o passo a passo para alteração das informações do Vínculo . Tanto ao ser Admitido quanto Exonerado em um cargo você deverá editar essa informação a fim de evitar que sejam cobradas o envio de declarações sem necessidade e evitando que você fique com o cadastro negativo perante o TCE ."
"Secretario que entrou esse ano precisa enviar as informações?
Informado que sim.", Secretario que entrou esse ano precisa enviar as informações ?, Informado que sim .
"Dúvida sobre preenchimento do SISPATRI referente ao exercício de 2017, onde ela entrou mas não tinha renda suficiente 

R: A informação deve ser realizada, sistema exige informações de entrada."," Dúvida sobre preenchimento do SISPATRI referente ao exercício de 2017 , onde ela entrou mas não tinha renda suficiente"," A informação deve ser realizada , sistema exige informações de entrada ."
"CM SÃO MIGUEL - usuário informou que estava anexando arquivo para informar e o sistema não permitia.

Ao analisar o dado importado, foi verificado que o arquivo estava em formato PDF, quando deveria está em formato .dec.", CM SÃO MIGUEL - usuário informou que estava anexando arquivo para informar e o sistema não permitia .," Ao analisar o dado importado , foi verificado que o arquivo estava em formato PDF , quando deveria está em formato .dec ."
"Solicitado alteração de e-mail cadastrado no SISPATRI. 
Solicitado que o usuário realize esse pedido através de e-mail. ", Solicitado alteração de e-mail cadastrado no SISPATRI ., Solicitado que o usuário realize esse pedido através de e-mail .
"Usuário informou que é ex-prefeito e verificou agora que tinha que ter enviado a sua declaração 30 dias depois de sua saída.

Solicitamos ao usuário que mesmo que não tenha enviado em tempo hábil, tem que enviar para declarar a mesma.", Usuário informou que é ex-prefeito e verificou agora que tinha que ter enviado a sua declaração 30 dias depois de sua saída .," Solicitamos ao usuário que mesmo que não tenha enviado em tempo hábil , tem que enviar para declarar a mesma ."
como recuperar a senha? clicando no link esqueci minha senha, como recuperar a senha, ficando no link esqueci minha senha
